temperature_celsius, year, month, country, ISO3
25.5699, 1901, Jan, Philippines, PHL
24.1451, 1901, Feb, Philippines, PHL
25.4436, 1901, Mar, Philippines, PHL
27.0414, 1901, Apr, Philippines, PHL
27.4015, 1901, May, Philippines, PHL
26.7009, 1901, Jun, Philippines, PHL
26.1138, 1901, Jul, Philippines, PHL
25.3894, 1901, Aug, Philippines, PHL
26.0872, 1901, Sep, Philippines, PHL
25.8516, 1901, Oct, Philippines, PHL
25.4079, 1901, Nov, Philippines, PHL
24.5503, 1901, Dec, Philippines, PHL
25.4087, 1902, Jan, Philippines, PHL
23.0601, 1902, Feb, Philippines, PHL
25.8968, 1902, Mar, Philippines, PHL
26.7846, 1902, Apr, Philippines, PHL
27.3967, 1902, May, Philippines, PHL
26.5888, 1902, Jun, Philippines, PHL
25.7555, 1902, Jul, Philippines, PHL
25.6583, 1902, Aug, Philippines, PHL
25.2512, 1902, Sep, Philippines, PHL
25.6989, 1902, Oct, Philippines, PHL
25.4931, 1902, Nov, Philippines, PHL
25.4872, 1902, Dec, Philippines, PHL
24.5726, 1903, Jan, Philippines, PHL
23.5647, 1903, Feb, Philippines, PHL
25.1167, 1903, Mar, Philippines, PHL
26.117, 1903, Apr, Philippines, PHL
26.7051, 1903, May, Philippines, PHL
26.5627, 1903, Jun, Philippines, PHL
25.4947, 1903, Jul, Philippines, PHL
25.5717, 1903, Aug, Philippines, PHL
25.1767, 1903, Sep, Philippines, PHL
25.2869, 1903, Oct, Philippines, PHL
24.7978, 1903, Nov, Philippines, PHL
24.0308, 1903, Dec, Philippines, PHL
23.8663, 1904, Jan, Philippines, PHL
23.3955, 1904, Feb, Philippines, PHL
24.6543, 1904, Mar, Philippines, PHL
25.1118, 1904, Apr, Philippines, PHL
25.5115, 1904, May, Philippines, PHL
25.0237, 1904, Jun, Philippines, PHL
25.0025, 1904, Jul, Philippines, PHL
24.6958, 1904, Aug, Philippines, PHL
24.909, 1904, Sep, Philippines, PHL
24.8739, 1904, Oct, Philippines, PHL
24.1758, 1904, Nov, Philippines, PHL
23.6338, 1904, Dec, Philippines, PHL
24.2599, 1905, Jan, Philippines, PHL
23.5577, 1905, Feb, Philippines, PHL
25.0734, 1905, Mar, Philippines, PHL
26.1756, 1905, Apr, Philippines, PHL
26.5067, 1905, May, Philippines, PHL
25.6545, 1905, Jun, Philippines, PHL
24.7937, 1905, Jul, Philippines, PHL
24.9646, 1905, Aug, Philippines, PHL
24.6763, 1905, Sep, Philippines, PHL
24.8442, 1905, Oct, Philippines, PHL
24.1402, 1905, Nov, Philippines, PHL
24.8747, 1905, Dec, Philippines, PHL
24.3714, 1906, Jan, Philippines, PHL
24.8258, 1906, Feb, Philippines, PHL
25.0568, 1906, Mar, Philippines, PHL
26.9652, 1906, Apr, Philippines, PHL
26.7658, 1906, May, Philippines, PHL
25.7124, 1906, Jun, Philippines, PHL
25.5158, 1906, Jul, Philippines, PHL
25.5052, 1906, Aug, Philippines, PHL
24.9699, 1906, Sep, Philippines, PHL
24.8662, 1906, Oct, Philippines, PHL
24.2824, 1906, Nov, Philippines, PHL
24.5156, 1906, Dec, Philippines, PHL
23.7863, 1907, Jan, Philippines, PHL
23.6608, 1907, Feb, Philippines, PHL
24.5965, 1907, Mar, Philippines, PHL
25.5087, 1907, Apr, Philippines, PHL
26.1903, 1907, May, Philippines, PHL
25.7284, 1907, Jun, Philippines, PHL
25.0125, 1907, Jul, Philippines, PHL
24.6789, 1907, Aug, Philippines, PHL
24.8569, 1907, Sep, Philippines, PHL
25.4358, 1907, Oct, Philippines, PHL
25.2039, 1907, Nov, Philippines, PHL
24.3309, 1907, Dec, Philippines, PHL
24.2149, 1908, Jan, Philippines, PHL
24.0173, 1908, Feb, Philippines, PHL
24.3562, 1908, Mar, Philippines, PHL
26.0001, 1908, Apr, Philippines, PHL
25.6271, 1908, May, Philippines, PHL
25.347, 1908, Jun, Philippines, PHL
25.0095, 1908, Jul, Philippines, PHL
25.1968, 1908, Aug, Philippines, PHL
25.0918, 1908, Sep, Philippines, PHL
25.2869, 1908, Oct, Philippines, PHL
24.3461, 1908, Nov, Philippines, PHL
24.5873, 1908, Dec, Philippines, PHL
24.4788, 1909, Jan, Philippines, PHL
24.379, 1909, Feb, Philippines, PHL
25.034, 1909, Mar, Philippines, PHL
26.1253, 1909, Apr, Philippines, PHL
26.2425, 1909, May, Philippines, PHL
25.9556, 1909, Jun, Philippines, PHL
24.7091, 1909, Jul, Philippines, PHL
25.6926, 1909, Aug, Philippines, PHL
25.0507, 1909, Sep, Philippines, PHL
25.53, 1909, Oct, Philippines, PHL
24.6265, 1909, Nov, Philippines, PHL
23.8785, 1909, Dec, Philippines, PHL
24.22, 1910, Jan, Philippines, PHL
24.3427, 1910, Feb, Philippines, PHL
24.7867, 1910, Mar, Philippines, PHL
25.4915, 1910, Apr, Philippines, PHL
25.6902, 1910, May, Philippines, PHL
25.7435, 1910, Jun, Philippines, PHL
25.3345, 1910, Jul, Philippines, PHL
25.2525, 1910, Aug, Philippines, PHL
24.7347, 1910, Sep, Philippines, PHL
24.7851, 1910, Oct, Philippines, PHL
24.4915, 1910, Nov, Philippines, PHL
24.3743, 1910, Dec, Philippines, PHL
24.4958, 1911, Jan, Philippines, PHL
23.691, 1911, Feb, Philippines, PHL
24.5732, 1911, Mar, Philippines, PHL
25.2547, 1911, Apr, Philippines, PHL
25.6009, 1911, May, Philippines, PHL
25.5852, 1911, Jun, Philippines, PHL
24.848, 1911, Jul, Philippines, PHL
24.9524, 1911, Aug, Philippines, PHL
25.024, 1911, Sep, Philippines, PHL
25.0361, 1911, Oct, Philippines, PHL
24.46, 1911, Nov, Philippines, PHL
24.7153, 1911, Dec, Philippines, PHL
24.0979, 1912, Jan, Philippines, PHL
24.4351, 1912, Feb, Philippines, PHL
25.5515, 1912, Mar, Philippines, PHL
26.329, 1912, Apr, Philippines, PHL
27.0166, 1912, May, Philippines, PHL
26.7012, 1912, Jun, Philippines, PHL
25.15, 1912, Jul, Philippines, PHL
24.8318, 1912, Aug, Philippines, PHL
25.1085, 1912, Sep, Philippines, PHL
24.898, 1912, Oct, Philippines, PHL
24.6915, 1912, Nov, Philippines, PHL
24.3153, 1912, Dec, Philippines, PHL
24.394, 1913, Jan, Philippines, PHL
24.2477, 1913, Feb, Philippines, PHL
25.0859, 1913, Mar, Philippines, PHL
25.6127, 1913, Apr, Philippines, PHL
25.8752, 1913, May, Philippines, PHL
26.0102, 1913, Jun, Philippines, PHL
25.1214, 1913, Jul, Philippines, PHL
24.8984, 1913, Aug, Philippines, PHL
25.2382, 1913, Sep, Philippines, PHL
